x r i
-2.000000000000000000e+01 4.241931547247573786e-88 -9.489883585577104233e-88
-1.991983967935871647e+01 2.470659667904312601e-87 -4.517007714676376728e-87
-1.983967935871743649e+01 1.389976693767182105e-86 -2.118445167343275553e-86
-1.975951903807615295e+01 7.604286766921554936e-86 -9.781177111409426461e-86
-1.967935871743486942e+01 4.063154290697431832e-85 -4.441027762141898510e-85
-1.959919839679358589e+01 2.126780838652534945e-84 -1.979881686736014326e-84
-1.951903807615230590e+01 1.092854229972526600e-83 -8.648975591183025700e-84
-1.943887775551102237e+01 5.521518513644778276e-83 -3.691543167793431294e-83
-1.935871743486973884e+01 2.746097793436749889e-82 -1.533032152863617561e-82
-1.927855711422845530e+01 1.345596573280045002e-81 -6.154929440676621861e-82
-1.919839679358717532e+01 6.500439171416694496e-81 -2.364310307394375547e-81
-1.911823647294589179e+01 3.097528729529034132e-80 -8.528678043839878644e-81
-1.903807615230460826e+01 1.456435308257801424e-79 -2.778671341787019763e-80
-1.895791583166332828e+01 6.758973804032010296e-79 -7.352819107930885896e-80
-1.887775551102204474e+01 3.096370298331162729e-78 -8.733952381553876610e-80
-1.879759519038076121e+01 1.400356226387135176e-77 7.282908938500613272e-79
-1.871743486973947768e+01 6.252192111123188157e-77 8.308864771542422237e-78
-1.863727454909819770e+01 2.755448732956643110e-76 5.938780720680426255e-77
-1.855711422845691416e+01 1.198499565819519709e-75 3.608368870351378771e-76
-1.847695390781563063e+01 5.143337707425826582e-75 2.010323163681698459e-75
-1.839679358717435065e+01 2.176905423089272050e-74 1.058991627191034369e-74
-1.831663326653306711e+01 9.082095546861048371e-74 5.357071852838332199e-74
-1.823647294589178358e+01 3.732261882606556032e-73 2.625712509172566454e-73
-1.815631262525050005e+01 1.509331161028577250e-72 1.253957344055218055e-72
-1.807615230460922007e+01 5.998931549166790759e-72 5.856721547251849586e-72
-1.799599198396793653e+01 2.339372755486217607e-71 2.682203552750405196e-71
-1.791583166332665300e+01 8.929778785228102104e-71 1.206722473407279224e-70
-1.783567134268536947e+01 3.325441533502472907e-70 5.340738950479231336e-70
-1.775551102204408949e+01 1.202220023761595031e-69 2.327679015423637194e-69
-1.767535070140280595e+01 4.186961703209360921e-69 9.997980593206966908e-69
-1.759519038076152242e+01 1.386588908969496266e-68 4.234727067305496028e-68
-1.751503006012023889e+01 4.260410122098039536e-68 1.769512820335845103e-67
-1.743486973947895891e+01 1.148456473388144451e-67 7.296847001236033704e-67
-1.735470941883767537e+01 2.260091515577652706e-67 2.970045269602315514e-66
-1.727454909819639184e+01 -5.024886823190113123e-68 1.193412005520115923e-65
-1.719438877755511186e+01 -4.003666461952872101e-66 4.734056321189790672e-65
-1.711422845691382832e+01 -3.077967476911115205e-65 1.853839479291359790e-64
-1.703406813627254479e+01 -1.789200106759948606e-64 7.165546206801126369e-64
-1.695390781563126126e+01 -9.204860920945221228e-64 2.733174981970203935e-63
-1.687374749498998128e+01 -4.409108844714991723e-63 1.028450297927303895e-62
-1.679358717434869774e+01 -2.011765505038292074e-62 3.815922067472260069e-62
-1.671342685370741421e+01 -8.851507439552717031e-62 1.395249086635551718e-61
-1.663326653306613423e+01 -3.783143331972704437e-61 5.023313632970576429e-61
-1.655310621242485070e+01 -1.578099779150922862e-60 1.778902095289143654e-60
-1.647294589178356716e+01 -6.445489898067047359e-60 6.187543859780114272e-60
-1.639278557114228363e+01 -2.583465262546606120e-59 2.109834517459876004e-59
-1.631262525050100365e+01 -1.017868820618692417e-58 7.033501523550680499e-59
-1.623246492985972012e+01 -3.946902961865812673e-58 2.283499439819650511e-58
-1.615230460921843658e+01 -1.507640143670494300e-57 7.177798645697948486e-58
-1.607214428857715305e+01 -5.677000632916770474e-57 2.163980602241862689e-57
-1.599198396793587307e+01 -2.108378164451939161e-56 6.154620456142065889e-57
-1.591182364729458953e+01 -7.726003928333973116e-56 1.597213870973019401e-56
-1.583166332665330600e+01 -2.794198643776446133e-55 3.474163674347673952e-56
-1.575150300601202424e+01 -9.975439430459144090e-55 4.346026812876221659e-56
-1.567134268537074249e+01 -3.515743713235766653e-54 -1.288061673593361342e-55
-1.559118236472945895e+01 -1.223247548053019679e-53 -1.435049101799426250e-54
-1.551102204408817542e+01 -4.201348034619081607e-53 -8.382846105988755999e-54
-1.543086172344689366e+01 -1.424187299252411600e-52 -4.050656551492716828e-53
-1.535070140280561191e+01 -4.763591546867049058e-52 -1.778153409889653152e-52
-1.527054108216432837e+01 -1.571545532953609040e-51 -7.349099957279051731e-52
-1.519038076152304662e+01 -5.111187756449341040e-51 -2.910086682307537561e-51
-1.511022044088176486e+01 -1.637657065865862934e-50 -1.114963250723524577e-50
-1.503006012024048133e+01 -5.164624868549236362e-50 -4.158551745539772221e-50
-1.494989979959919779e+01 -1.601214252425034074e-49 -1.515985324261478050e-49
-1.486973947895791603e+01 -4.872550319657510311e-49 -5.416586559113851284e-49
-1.478957915831663428e+01 -1.452117131203692682e-48 -1.900632933483470880e-48
-1.470941883767535074e+01 -4.225077242967252786e-48 -6.559148989345611222e-48
-1.462925851703406721e+01 -1.194746678970226485e-47 -2.228681562767295342e-47
-1.454909819639278545e+01 -3.260387318278949436e-47 -7.462049260711860241e-47
-1.446893787575150370e+01 -8.486796975020569532e-47 -2.463477298519711293e-46
-1.438877755511022016e+01 -2.062308113469258544e-46 -8.022726691344960032e-46
-1.430861723446893841e+01 -4.464254904818504560e-46 -2.578255363345479381e-45
-1.422845691382765665e+01 -7.486751887737002613e-46 -8.178272223853571932e-45
-1.414829659318637312e+01 -2.850289416595858274e-46 -2.560881256399448253e-44
-1.406813627254508958e+01 5.473503415425204683e-45 -7.916490726357788244e-44
-1.398797595190380783e+01 3.631281452504889116e-44 -2.415896415355529016e-43
-1.390781563126252607e+01 1.698976373626591742e-43 -7.277401276645714412e-43
-1.382765531062124253e+01 6.918324979911323169e-43 -2.163402317150538255e-42
-1.374749498997995900e+01 2.605684557049032423e-42 -6.344936592046557148e-42
-1.366733466933867724e+01 9.317817965520971285e-42 -1.835101505893715127e-41
-1.358717434869739549e+01 3.207105579623510302e-41 -5.231009008634614497e-41
-1.350701402805611195e+01 1.071043712587614526e-40 -1.468492825500964418e-40
-1.342685370741483020e+01 3.488317805057185992e-40 -4.055837052873353475e-40
-1.334669338677354844e+01 1.111821990871181247e-39 -1.100593023239701248e-39
-1.326653306613226491e+01 3.476283441621496595e-39 -2.928998657012064581e-39
-1.318637274549098137e+01 1.068111578244125451e-38 -7.625379122633091106e-39
-1.310621242484969962e+01 3.229260090298942121e-38 -1.935019838634925803e-38
-1.302605210420841786e+01 9.616071536576068336e-38 -4.760456763958734084e-38
-1.294589178356713433e+01 2.822413729185566412e-37 -1.125741190667786404e-37
-1.286573146292585079e+01 8.169835420223908498e-37 -2.521505952253805378e-37
-1.278557114228456904e+01 2.333214266823359835e-36 -5.197937571390761353e-37
-1.270541082164328728e+01 6.576162755702306738e-36 -9.202890878207243255e-37
-1.262525050100200374e+01 1.829579673334548312e-35 -1.078501056428816094e-36
-1.254509018036072199e+01 5.025000337504227834e-35 1.069503329095907299e-36
-1.246492985971944023e+01 1.362496290207624568e-34 1.386886912299970887e-35
-1.238476953907815670e+01 3.646878176895862070e-34 6.696547378164630004e-35
-1.230460921843687316e+01 9.634482867487119348e-34 2.581159595820080157e-34
-1.222444889779559141e+01 2.511597777635525814e-33 8.938789853508743181e-34
-1.214428857715430965e+01 6.458510413824732553e-33 2.900337000242471862e-33
-1.206412825651302612e+01 1.637437789001250812e-32 8.993097300923797637e-33
-1.198396793587174436e+01 4.090409394365984685e-32 2.693975890198856559e-32
-1.190380761523046083e+01 1.005928452087024504e-31 7.848453965426980962e-32
-1.182364729458917907e+01 2.432616773604791474e-31 2.233375326664402653e-31
-1.174348697394789554e+01 5.776000835797668003e-31 6.226116788325203214e-31
-1.166332665330661378e+01 1.343778834365627269e-30 1.704000713487907577e-30
-1.158316633266533024e+01 3.054315667389220535e-30 4.585551431716841520e-30
-1.150300601202404849e+01 6.753862667336326591e-30 1.214741630509434058e-29
-1.142284569138276673e+01 1.443590447092145418e-29 3.170478129047714051e-29
-1.134268537074148320e+01 2.951332609329433186e-29 8.158304566226591788e-29
-1.126252505010020144e+01 5.662998181062906969e-29 2.070731874581630819e-28
-1.118236472945891791e+01 9.801691200830101777e-29 5.186255358622437586e-28
-1.110220440881763615e+01 1.372239127265118989e-28 1.282033994084449298e-27
-1.102204408817635262e+01 8.282871529519603665e-29 3.128447053650992959e-27
-1.094188376753507086e+01 -4.050298657244560380e-28 7.536537200242876070e-27
-1.086172344689378733e+01 -2.413504641908912886e-27 1.792348779413127370e-26
-1.078156312625250557e+01 -9.144851617853260318e-27 4.207635540881848302e-26
-1.070140280561122204e+01 -2.953414294251146882e-26 9.748482866517239214e-26
-1.062124248496994028e+01 -8.754406460492551391e-26 2.228406245533714642e-25
-1.054108216432865852e+01 -2.454679429185575027e-25 5.023826992342415568e-25
-1.046092184368737499e+01 -6.611159013637342733e-25 1.116403290752239807e-24
-1.038076152304609323e+01 -1.725479266897222644e-24 2.443651835651115281e-24
-1.030060120240480970e+01 -4.388334976647170807e-24 5.263488454428882396e-24
-1.022044088176352794e+01 -1.091577957654347340e-23 1.114220741871881519e-23
-1.014028056112224441e+01 -2.662536100256541342e-23 2.314122202033129613e-23
-1.006012024048096265e+01 -6.380132192492930010e-23 4.704257020750810130e-23
-9.979959919839679117e+00 -1.504018715898018514e-22 9.328794135554175214e-23
-9.899799599198397360e+00 -3.491507414637542418e-22 1.795680429426700367e-22
-9.819639278557113826e+00 -7.988155117232478807e-22 3.329056090968747169e-22
-9.739478957915832069e+00 -1.802223759018088515e-21 5.866575814010348935e-22
-9.659318637274550312e+00 -4.011341074253876754e-21 9.584622285997262518e-22
-9.579158316633266779e+00 -8.811019624745332602e-21 1.371158769247957885e-21
